datetime,duration,unit,consumption,generation
2023-06-06T04:15:00-05:00,900,Wh,564,0
2023-06-06T04:30:00-05:00,900,Wh,1175,0
2023-06-06T04:45:00-05:00,900,Wh,319,0
2023-06-06T05:00:00-05:00,900,Wh,204,0
2023-06-06T05:15:00-05:00,900,Wh,208,0
2023-06-06T05:30:00-05:00,900,Wh,257,0
2023-06-06T05:45:00-05:00,900,Wh,1188,0
2023-06-06T06:00:00-05:00,900,Wh,256,0
2023-06-06T06:15:00-05:00,900,Wh,247,0
2023-06-06T06:30:00-05:00,900,Wh,206,0
2023-06-06T06:45:00-05:00,900,Wh,227,0
2023-06-06T07:00:00-05:00,900,Wh,216,0
2023-06-06T07:15:00-05:00,900,Wh,226,0
